name,location,address,venue_type,capacity,contact_email,contact_phone,website,typical_genres
Sly Grog Lounge,"Asheville, NC","271 Haywood St. Asheville, NC 28801",bar,,,(173) 868-6361,https://slygrog.wordpress.com/,Country; Rap
Fleetwood’s,"West Asheville, NC","496 Haywood Rd. West Asheville, NC 28806",club,,fleetwoodsonhaywood@gmail.com,(828) 505-5525,https://fleetwoodschapel.com/,Live Music; Punk; Rap; Rock
Asheville Cotton Mill Studios,"Asheville, NC","122 Riverside Dr. Asheville, NC 28801",other,,cottonmillstudios@gmail.com,(352) 546-8738,https://www.cottonmillasheville.com/,Country; Pop; Rap
One Stop at Asheville Music Hall,"Asheville, NC","55 College Street Asheville, NC 28801",club,,,(175) 379-7940,https://ashevillemusichall.com/,Eclectic; Electronic; Funk; Live Music; Pop; Rap; Rock; Touring Acts
Ambrose West,"Asheville, NC","312 Haywood Rd. Asheville, NC 28806",club,,,,,
BoatYard Eats,"Cornelius, NC","18418 Statesville Rd. Cornelius, NC 28031",club,,,(704) 997-6069,https://www.boatyardlkn.com/,Rock
Bin 110,"Cornelius, NC","19712 One Norman Dr. Ste 110 Cornelius, NC 28031",bar,,user@domain.com,(980) 689-5081,https://www.bin110.com/,Country; Live Music; Pop; Rap
Ben’s Tune Up,"Asheville, NC","195 Hilliard Ave. Asheville, NC 28801",bar,,user@domain.com,,https://www.benstuneup.com/,Country; Pop; Rap
One World Brewing - Downtown,"Asheville, NC","10 Patton Avenue Asheville, NC 28801",bar,,,(174) 958-7554,https://oneworldbrewing.com/,Live Music; Pop; Rap
One World Brewing - West Asheville,"Asheville, NC","520 Haywood Rd. Asheville, NC 28806",bar,,,(174) 958-7554,https://oneworldbrewing.com/,
202 North Main Fine Wine Spirits & Music Room,"Mooresville, NC","202 N Main St. Mooresville, NC 28115",bar,,amkryukov@gmail.com,(704) 663-5445,https://202wines.com/,
Local 506,"Chapel Hill, NC","506 W Franklin St. Chapel Hill, NC 27516",club,,booking@local506.com,(174) 073-2294,https://local506.com/,
Cat's Cradle,"Carrboro, NC","300 E Main St. Carrboro, NC 27510",club,,,(919) 967-9053,https://catscradle.com/,
The Cave,"Chapel Hill, NC","452 ½ W. Franklin St. Chapel Hill, NC 27516",club,,therealcaverntavern@gmail.com,(175) 216-3479,https://caverntavern.com/,
Lincoln Theatre,"Raleigh, NC","126 E. Cabarrus St. Raleigh, NC 27601",club,,booking@lincolntheatre.com,(174) 775-2008,https://lincolntheatre.com/,
Red Hat Amphitheater,"Raleigh, NC","500 South McDowell Steet Raleigh, NC 27601",club,,,(919) 996-8500,https://www.redhatamphitheater.com/,
Koka Booth Amphitheatre,"Cary, NC","8003 Regency Pkwy. Cary, NC 27518",club,,,(214) 748-3638,https://www.boothamphitheatre.com/,
The Ritz,"Raleigh, NC","2820 Industrial Drive Raleigh, NC 27609",club,,theritzraleigh@livenation.com,(919) 424-1400,https://www.ritzraleigh.com/,
Walnut Creek Amphitheatre,"Raleigh, NC","3801 Rock Quarry Road Raleigh, NC 27610",club,,,(919) 831-6400,https://www.coastalcreditunionmusicpark.com/,
The Pinhook,"Durham, NC","117 W Main St. Durham, NC 27701",club,,info@thepinhook.com,(174) 539-6432,https://thepinhook.com/,
Motorco Music Hall,"Durham, NC","723 Rigsbee Ave. Durham, NC 27701",club,,info@motorcomusic.com,,https://motorcomusic.com/,
The Blue Note Grill,"Durham, NC","709 Washington St. Durham, NC 27701",club,,bill@thebluenotegrill.com,(270) 588-2353,https://www.thebluenotegrill.com/,
Haw River Ballroom,"Saxapahaw, NC","1711 Saxapahaw Bethlehem Church Rd. Saxapahaw, NC 27340",club,,user@domain.com,(336) 525-2449,https://www.hawriverballroom.com/#/events,
PNC Music Pavilion,"Charlotte, NC","707 Pavilion Boulevard Charlotte, NC 28262",club,,,,https://www.pncmusicpavilion.com/,
Spectrum Center,"Charlotte, NC","333 E Trade St. Charlotte, NC 28202",club,,info@hornets.com,,https://www.spectrumcentercharlotte.com/,
Bojangles Coliseum,"Charlotte, NC","2700 East Independence Blvd. Charlotte, NC 28205",club,,,,https://www.boplex.com/,
Belk Theater,"Charlotte, NC","130 N Tryon St. Charlotte, NC 28202",theater,,,,https://www.blumenthalarts.org/visiting/blumenthal-performing-arts-center/belk-theater,
Blumenthal Performing Arts,"Charlotte, NC","130 N Tryon St, Charlotte NC 28202",theater,,groupsales@blumenthalarts.org,,https://www.blumenthalarts.org/,
Skyla Credit Union Amphitheatre,"Charlotte, NC","1000 NC Music Factory Blvd. Charlotte, NC 28206",club,,info@livenation.com,,https://www.skylacuamp.com/,
Ovens Auditorium,"Charlotte, NC","2700 East Independence Blvd. Charlotte, NC 28205",club,,,,https://www.blumenthalarts.org/venues/detail/ovens-auditorium,
The Fillmore,"Charlotte, NC","820 Hamilton St. Charlotte, NC 28206",club,,info@livenation.com,,https://www.fillmorenc.com/,
The Underground,"Charlotte, NC","820 Hamilton St. Charlotte, NC 28206",club,,info@livenation.com,,https://www.fillmorenc.com/shows/rooms/the-underground,
Neighborhood Theatre,"Charlotte, NC","511 E 36th St. Charlotte, NC 28205",club,,booking@neighborhoodtheatre.com,,https://neighborhoodtheatre.com/,
Visulite Theatre,"Charlotte, NC","1615 Elizabeth Ave. Charlotte, NC 28204",club,,,,https://visulite.com/,
The Music Yard,"Charlotte, NC","2433 South Blvd. Charlotte, NC 28203",club,,,,https://musicyardclt.com/,
The Evening Muse,"Charlotte, NC","3227 N. Davidson Street Charlotte, NC 28205",club,,info@eveningmuse.com,,https://www.eveningmuse.com/,
Amos' Southend,"Charlotte, NC","1423 S Tryon St. Charlotte, NC 28203",club,,,,https://amossouthend.com/,
Petra's,"Charlotte, NC","1919 Commonwealth Ave. Charlotte, NC 28205",club,,,,https://petrasbar.com/,
Skylark Social Club,"Charlotte, NC","2131 Central Ave. Charlotte, NC 28205",club,,,,https://www.facebook.com/skylarksocialclub/,
The Milestone Club,"Charlotte, NC","3400 Tuckaseegee Rd. Charlotte, NC 28208",club,,user@domain.com,,https://themilestone.club/,
Snug Harbor,"Charlotte, NC","1228 Gordon St. Charlotte, NC 28205",club,,info@snugrock.com,,https://snugrock.com/,
Hangar 1819,"Greensboro, NC","1819 Spring Garden St. Greensboro, NC 27403",club,,info.hangar1819@gmail.com,,https://www.hangar1819.com/,
Flat Iron,"Greensboro, NC","221 Summit Avenue Greensboro, NC 27401",club,,theflatironproduction@gmail.com,,https://flatirongso.com/,
Cone Denim Entertainment Center,"Greensboro, NC","117 South Elm Street Greensboro, NC 27401",club,,,,https://cdecgreensboro.com/,
Elm Street Lounge,"Greensboro, NC","115 South Elm Street Greensboro, NC 27401",club,,,,,
Arizona Pete’s,"Greensboro, NC","2900 Patternson St. Ste. A Greensboro, NC 27407",club,,,,https://www.facebook.com/arizonapetes/,
Ziggy's,"High Point, NC","1547 W. English Rd. High Point, NC 27262",club,,ziggys.space@gmail.com,,https://ziggys.space/,
White Oak Amphitheatre,"Greensboro, NC","1403 Berwick St. Greensboro, NC 27403",club,,,,https://www.gsocomplex.com/venues/detail/white-oak-amphitheatre,
Shiners,"Greensboro, NC","435 Dolley Madison Rd, Greensboro NC 27410",bar,,shinersgso@hotmail.com,,https://www.facebook.com/drinkshine/,
Kamikaze’s Tavern,"Randleman, NC","5701 Randleman Rd, Randleman NC 27317",bar,,,,,
Baxter’s Tavern,"Greensboro, NC","536 Farragut St. Greensboro, NC 27406",club,,,,https://www.facebook.com/BaxtersTavern/,
The Ramkat,"Winston-Salem, NC","170 W. 9th St. Winston-Salem, NC 27101",club,,info@theramkat.com,,https://www.theramkat.com/,
UNCSA- The Stevens Center,"Winston-Salem, NC","405 4th St. NW Winston-Salem, NC 27127",club,,,,https://www.uncsa.edu/performances/stevens-center/index.aspx,
North Carolina Museum of Art Winston-Salem,"Winston-Salem, NC","705 Marguerite Dr. Winston-Salem, NC 27106",other,,info.ws@ncartmuseum.org,,https://ncmawinstonsalem.gov/index.php,
Roar,"Winston-Salem, NC","633 N. Liberty St. Winston-Salem, NC 27101",other,,simon@mayfairhospitality.com,,https://www.roarws.com/,
Foothills Brewpub,"Winston-Salem, NC","638 West Fouth Street Winston-Salem, NC 27101",bar,,,,https://www.foothillsbrewing.com/,
Foothills Tasting Room,"Winston-Salem, NC","3800 Kimwell Dr. Winston-Salem, NC 27103",bar,,,,https://www.foothillsbrewing.com/tasting-room/,
Foothills Footnote,"Winston-Salem, NC","634 W. 4th Street Ste #120 Winston-Salem, NC 27101",bar,,,,https://www.foothillsbrewing.com/footnote/,
Tate's Craft Cocktails,"Winston-Salem, NC","279 W 4th St. Winston-Salem, NC 27101",bar,,beautate@tatesbar.com,,https://www.facebook.com/TatesWS/,
Village Square Tap House,"Clemmons, NC","6000 Meadowbrook Mall Ct. Ste 16 Clemmons, NC 27012",bar,,,,,
Earl's,"Winston-Salem, NC","121 West 9th Street Winston-Salem, NC 27101",club,,info@earlsws.com,,https://earlsws.com/?gclid=Cj0KCQjw8eOLBhC1ARIsAOzx5cGH8uEqOOl-TlSoA5yZxlSc9htMOfzyxmWw9Tz8hYVJiK-8j8nmiTYaAlEEEALw_wcB,
Bar Nola,"Winston-Salem, NC","1151 Canal St. Ste 205 Winston-Salem, NC 27101",club,,barnolaws@gmail.com,,https://www.facebook.com/people/Bar-Nola/100076499372019/,
Recreation Billiards/ Whiskey Box,"Winston-Salem, NC","412 W 4th St. Winston-Salem, NC 27101",bar,,,,https://www.facebook.com/RecreationBilliards/?_rdr,
Old Nick Williams Co. Farm and Distillery,"Lewisville, NC","2675 Williams Rd. Lewisville, NC 27023",bar,,,,https://oldnickwhiskey.com/,
Pour House Music Hall and Record Store,"Raleigh, NC","224 S Blount St. Raleigh, NC 27601",club,,,,https://pourhouseraleigh.com/home-page/,
High Point Theatre,"High Point, NC","220 E. Commerce Ave. High Point, NC 27260",theater,,,,https://highpointtheatre.com/,
Duke Coffeehouse,"Durham, NC","Epworth Dorm Lane Durham, NC 27705",club,,,,https://arts.duke.edu/places/duke-coffeehouse/,
Greenfield Lake Amphitheatre,"Wilmington, NC","1941 Amphitheater Dr. Wilmington, NC 28401",club,,,,https://www.greenfieldlakeamphitheater.com/,
Satellite Bar and Lounge,"Wilmington, NC","120 Greenfield Street Wilmington, NC 28401",club,,,,,
Reggie's 42nd Street Tavern,"Wilmington, NC","1415 S 42nd St. Wilmington, NC 28403",club,,,,https://www.facebook.com/reggiesnc/,
Live Oak Bank Pavilion,"Wilmington, NC","10 Cowan Street Wilmington, NC 28401",club,,,,https://www.liveoakbankpav.com/,
Bourgie Nights,"Wilmington, NC","127 Princess St. Wilmington, NC 28401",club,,,,https://www.tickettailor.com/events/bourgienights,
Whiskey Tango Foxtrot,"Wilmington, NC","111 Grace St. Wilmington, NC 28401",club,,,,https://www.whiskeytangofoxtrotnc.com/,
Jimmy’s Wrightsville Beach,"Wrightsville Beach, NC","5 N Lumina Ave. Wrightsville Beach, NC 28480",club,,,,https://www.facebook.com/jimmyswrightsville/,
Duck and Dive Pub,"Wilmington, NC","114 Dock St. Wilmington, NC 28401",bar,,,,,
Barzarre,"Wilmington, NC","1610 Castle St. Wilmington, NC 28401",club,,,,https://barzarre.com/,
Live At Ted’s,"Wilmington, NC","2 Castle Street Wilmington, NC 28401",club,,,,https://www.liveatteds.com/,
The Bend,"Wilmington, NC","7227 Market Street Wilmington, NC 28411",club,,,,https://www.thebendilm.com/,
Wilmington Distillery,"Wilmington, NC","12 Dock St. Wilmington, NC 28401",bar,,,,https://www.facebook.com/people/Wilmington-Distillery/100083242605100/,
The Shell,"Wilmington, NC","10 Harnett St. Wilmington, NC 28401",club,,,,https://www.facebook.com/theshellnc/,
Speakeasy,"Carrboro, NC","100 E. Main St. Carrboro, NC 27510",club,,,,https://www.speakeasycarrboro.com/,
The Eddy,"Saxapahaw, NC","1715 Saxapahaw-Bethlehem Church Road Saxapahaw, NC",club,,,,https://www.theeddypub.com/,
Huron Stage Music Venue,"Durham, NC","2329 Huron St. Durham, NC 27707",club,,,,https://www.facebook.com/huronstagemusicvenue/,
185 King Street,"Brevard, NC","185 King St. Brevard, NC 28712",club,,,,https://185kingst.com/,
The Fruit,"Durham, NC","305 S. Dillard Street Durham, NC 27701",club,,,,https://www.durhamfruit.com/,
Rusty Nail Saloon,"Wilmington, NC","1310 S Fifth Avenue Wilmington, NC 28401",club,,,,https://www.facebook.com/RustyNailWilmington/,
The Backstreet Pub,"Beaufort, NC","124 Middle Ln. Beaufort, NC 28516",bar,,,,https://www.facebook.com/TheBackstreetPub/,
Zuma Coffee & Provisions,"Marshall, NC","7 North Main St. Marshall, NC 28753",bar,,,,https://www.zumascoffee.com/music,
Bowstring Pizza and Brewyard,"Raleigh, NC","1930 Wake Forest Rd. Raleigh, NC 27608",bar,,,,https://raleigh.bowstringbrewyard.com/,
Queeny's,"Durham, NC","321 E Chapel Hill St Ste 100, Durham, NC 27701",bar,,,,https://www.queenysdurham.com/,
Neptune's Parlour,"Raleigh, NC","14 W Martin St, Raleigh, NC 27601",bar,,,,https://www.neptunesraleigh.com/,
Chapel of Bones Coffee,"Raleigh, NC","658 Maywood Ave. Raleigh, NC 27603",club,,,,https://www.chapelofbones.com/,
Bond Brothers - Eastside,"Cary, NC","602 E Chatham S. Cary, NC 27511",club,,,,https://www.bondbrothersbeer.com/calendar,
Missy Lane's Assembly Room,"Durham, NC","310 E Main St. Suite 100 Durham, NC 27701",club,,,,https://www.missylanes.com/,
Sharp 9 Gallery/ Durham Jazz Workshop,"Durham, NC","4608 Industry Ln. Durham, NC 27713",club,,,,https://www.durhamjazzworkshop.org/,
Durham Performing Arts Center (DPAC),"Durham, NC","123 Vivian St. Durham, NC 27701",theater,,,,https://www.dpacnc.com/,
Carolina Theatre of Durham,"Durham, NC","309 West Morgan St. Durham, NC 27701",theater,,,,https://carolinatheatre.org/,
Kingfisher,"Durham, NC","321 E. Chapel Hill St. Durham, NC 27701",club,,,,https://www.kingfisherdurham.com/,
Lula & Sadie's,"Durham, NC","2022 Chapel Hill Rd. Durham, NC 27707",club,,,,https://www.lulaandsadies.com/,
The Roof at the Durham,"Durham, NC","315 E. Chapel Hill St. Durham, NC 27701",bar,,,,https://www.thedurham.com/roof/,
Appalachian Theatre of the Highlands,"Boone, NC","559 W King St, Boone, NC 28607",theater,,,,https://www.apptheatre.org/,
Carolina Theatre of Greensboro,"Greensboro, NC","310 S Greene St, Greensboro, NC 27401",theater,1101,,,https://carolinatheatre.com/,
Cary Arts Center,"Cary, NC","101 Dry Ave, Dary, NC 27511",theater,,,,https://www.carync.gov/recreation-enjoyment/facilities/cary-arts-center,
Fuquay-Varina Arts Center,"Fuquay-Varina, NC","123 E Vance St, Fuquay-Varina, NC 27526",theater,,,,https://www.fuquay-varina.org/1754/Arts-Center,
Garner Performing Arts Center,"Garner, NC","742 W Garner Rd, Garner, NC 27529",theater,,,,https://www.garnernc.gov/departments/garner-performing-arts-center,
Hayti Heritage Center,"Durham, NC","804 Fayetteville St, Durham, NC 27701",club,,,,https://hayti.org/,
Kings,"Raleigh, NC","14 W Martin St, Raleigh, NC 27601",club,,,,https://www.kingsraleigh.com/,
Martin Marietta Center for the Performing Arts,"Raleigh, NC","2 E South St, Raleigh, NC 27601",theater,,,,https://www.martinmariettacenter.com/,
Northstar Church of the Arts,"Durham, NC","220 W Geer St, Durham, NC 27701",club,,,,https://www.northstardurham.com/,
The Clayton Center,"Clayton, NC","111 E 2nd St, Clayton, NC 27520",theater,,,,https://theclaytoncenter.com/,
Wake Forest Renaissance Centre,"Wake Forest, NC","405 S Brooks St, Wake Forest, NC 27587",theater,,,,https://www.wakeforestrencen.org/,
Cain Center for the Performing Arts,"Cornelius, NC","21348 Catawba Ave, Cornelius, NC 28031",theater,,,,https://cainarts.org/,
Weymouth Center,"Southern Pines, NC","555 E Connecticut Ave, Southern Pines, NC 28388",club,,,,https://weymouthcenter.org/,
Black Mountain Center for the Arts,"Black Mountain, NC","225 W State St, Black Mountain, NC 28711",club,,,,https://www.blackmountainarts.org/events,
Berkeley Cafe,"Raleigh, NC","428 S Dawson St, Raleigh, NC",club,,,,https://www.facebook.com/berkeleyraleigh/,
Wortham Center for the Performing Arts,"Asheville, NC","18 Biltmore Ave, Asheville, NC 28801",theater,,,,https://www.worthamarts.org/,
Halle Cultural Arts Center,"Apex, NC","237 N Salem St, Apex, NC 27502",theater,,,,https://www.apexnc.org/1442/Halle-Cultural-Arts-Center,
Durham Central Park,"Durham, NC","501 Foster St, Durham, NC 27701",outdoor,,,,https://durhamcentralpark.org/playlist/,
Magnolia House Foundation,"Greensboro, NC","442 Gorrell St, Greensboro, NC 27406",club,,,,https://www.thehistoricmagnoliahouse.org/,
David E. Oaksmith Auditorium at First Flight High School (Outer Bank Forum for the Lively Arts),"Kill Devil Hills, NC","100 Veterans Drive, Kill Devil Hills, NC 27948",club,,,,https://www.outerbanksforum.org/,
Eulogy,"Asheville, NC","10 Buxton Ave, Asheville, NC 28801",club,,,,https://burialbeer.com/pages/eulogy,
LaZoom Tours,"Asheville, NC","76 Biltmore Ave, Asheville, NC 28801",other,,,,https://www.lazoomtours.com/,
The Greenhouse Moto Café,"Mills River, NC","4021 Haywood Rd, Mills River, NC 28759",bar,,,,https://greenhousemotocafe.blogspot.com/,
Hazel Robinson Amphitheatre,"Asheville, NC","92 Gay St, Asheville, NC 28801",club,,,,https://www.montfordparkplayers.org/plan-your-visit/,
Highlands Performing Arts Center,"Highlands, NC","507 Chestnut St, Highlands, NC 28741-8493",theater,,,,https://www.highlandsperformingarts.com/,
The ArtsCenter,"Carrboro, NC","400 Roberson St, Carrboro, NC 27510",other,,,,https://artscenterlive.org/,
Wilson Arts Center,"Wilson, NC","204 Nash St S, Wilson, NC 27893",other,,,,https://wilsonarts.com/,
Slim's Dive Bar,"Raleigh, NC","227 S Wilmington St, Raleigh, NC 27601",bar,,,,https://slimsdivebar.com/,
Cameo Art House Theatre Inc.,"Fayetteville, NC","225 Hay Street Fayetteville, NC 28301",theater,,,,https://www.cameoarthouse.com/,
Cape Fear Regional Theatre,"Fayetteville, NC","1209 Hay St, Fayetteville, NC 28305",theater,,,,https://www.cfrt.org/,
Children's Theatre of Charlotte,"Charlotte, NC","300 E 7th St, Charlotte, NC 28202",theater,,,,https://ctcharlotte.org/Online/default.asp,
Paramount Theatre,"Goldsboro, NC","139 S Center St, Goldsboro, NC 27530",theater,,,,https://www.goldsboroparamount.com/,
Cohab.Space,"High Point, NC","1547 W English Rd, High Point, NC 27262",other,,,,https://cohab.space/,
Burning Coal Theatre Company,"Raleigh, NC","224 Polk St, Raleigh, NC 27604-1260",theater,,,,https://burningcoal.org/,
Crown Station Pub,"Charlotte, NC","3629 N Davidson St, Charlotte, NC 28205",club,,,,https://www.crownstationpub.com/,
Five Oaks Clubhouse,"Durham, NC","5109 Pine Cone Dr Durham, NC 27707",other,,,,https://fiveoaksclub.com/clubhouse/,
Free Range Brewing,"Charlotte, NC","2320 N Davidson St Ste D, Charlotte, NC 28205",bar,,,,https://www.freerangebrewing.com/home,
The Deck,"Jamestown, NC","118 E Main St, Jamestown, NC 27282",club,,,,https://www.facebook.com/TheDeckJamestown/,
The Night Rider,"Raleigh, NC","416 W South St, Raleigh, NC 27601",bar,,,,https://www.facebook.com/TheNightRiderRaleigh/,
The Wicked Witch,"Raleigh, NC","416 W South St, Raleigh, NC 27601",club,,,,https://www.facebook.com/919WickedWitch,
The North Carolina Theatre,"Raleigh, NC","One East South Street Raleigh, NC 27601",theater,,,,https://nctheatre.com/,
Monstercade,"Winston-Salem, NC","204 W Acadia Ave, Winston-Salem, NC 27127",other,,,,https://www.monstercade.com/,
Paddy's Irish Pub,"Fayetteville, NC","2606 Raeford Rd, Fayetteville, NC 28303",bar,,,,https://paddysirishpub.com/,
Raleigh Convention & Performing Arts Complex,"Raleigh, NC","500 South Salisbury Street Raleigh, NC 27601",other,,,,https://www.raleighconvention.com/,
Sunrise Theater,"Southern Pines, NC","250 NW Broad St, Southern Pines, NC 28387",theater,,,,https://sunrisetheater.com/,
The Rooster's Wife,"Aberdeen, NC","114 Knight St, Aberdeen, NC 28315",club,,,,https://www.facebook.com/poplarknight/,
Willingham Theater - Yadkin Cultural Arts Center,"Yadkinville, NC","226 E. Main Street Yadkinville, NC 27055",theater,,,,https://www.yadkinarts.org/willingham-theater/,
The Amp Ballantyne,"Charlotte, NC","1115 Upper Ave, Charlotte, NC 28277",club,,,,https://www.ampballantyne.com/,
The Revelry,"Charlotte, NC","701 Keswick Ave Ste 110, Charlotte, NC 28206",other,,,,https://www.therevelryclt.com/,
Cardinal Bands & Billiards,"Wilmington, NC","5216 Carolina Beach Rd, Wilmington, NC 28412",club,,,,,
Bottega Art & Wine,"Wilmington, NC","723 N 4th St, Wilmington, NC 28401",bar,,,,https://www.bottegawilmington.com/,
Brooklyn Arts Center Inc.,"Wilmington, NC","516 N 4th St, Wilmington, NC 28401",other,,,,https://www.brooklynartsnc.com/,
Odell Williamson Auditorium (Brunswick Community College),"Bolivia, NC","150 College Rd NW, Bolivia, NC 28422",other,,,,https://brunswickcc.edu/odell-williamson-auditorium/,
Secret Island Tavern,"Kill Devil Hills, NC","504 South Virginia Dare Trail Kill Devil Hills, NC 27948",club,,,,,
Hooligans,"Jacksonville, NC","2620 Onslow Dr, Jacksonville, NC 28540",club,,,,https://hooliganslive.com/,
Thalian Hall Center For the Performing Arts,"Wilmington, NC","310 Chestnut St, Wilmington, NC 28401",theater,,,,https://www.thalianhall.org/,
The Limelight of Jacksonville,"Jacksonville, NC","145 Blue Creek School Rd, Jacksonville, NC 28540",club,,,,https://limelightjville.com/,
Kenan Auditorium - University of North Carolina Wilmington,"Wilmington, NC","601 S. College Rd. Wilmington, NC 28403-5966",theater,,,,https://uncw.edu/seahawk-life/arts/venues/kenan-auditorium/,
Wilson Center - Cape Fear Community College,"Wilmington, NC","703 N 3rd St, Wilmington, NC 28401",other,,,,https://wilsoncentertickets.com/,
Aberdeen Lake Park,"Aberdeen, NC","301 Lake Park Crossing, Aberdeen, NC 28315",outdoor,,,,https://www.townofaberdeen.net/pview.aspx?id=2173,
Malcolm Blue Farm,"Aberdeen, NC","1177 Bethesda Road, Aberdeen, NC 28315",outdoor,,,,https://www.townofaberdeen.net/pview.aspx?id=3520&catid=0,
Soiree On South,"Aberdeen, NC","111 W South Street, Aberdeen, NC 28315",other,,,,https://soireeonsouth.mystrikingly.com/,
Village Pine Venue,"Carthage, NC","1628 McCaskill Road, Carthage, NC 28327",other,,,,https://www.villagepinevenue.com/,
The Buggy Factory,"Carthage, NC","106 S. Ray Street, Carthage, NC 28327",club,,,,https://thebuggyfactorysp.com/,
Bradshaw Performing Arts Center (BPAC),"Pinehurst, NC","3395 Airport Road, Pinehurst, NC 28374",theater,,,,https://www.sandhillsbpac.com/,
Pinehurst Fair Barn,"Pinehurst, NC","200 Buleah Hill Road South, Pinehurst, NC 28374",other,,,,https://www.vopnc.org/our-government/departments/fair-barn,
Pinehurst Harness Track,"Pinehurst, NC","200 Buleah Hill Road South, Pinehurst, NC 28374",outdoor,,,,https://www.vopnc.org/our-government/departments/harness-track,
Tufts Park,"Pinehurst, NC","1 Village Green West, Pinehurst, NC 28374",outdoor,,,,https://www.vopnc.org/our-government/departments/parks-recreation/facility-rentals/tufts-park,
Pinehurst Arboretum,"Pinehurst, NC","395 Magnolia Road, Pinehurst, NC 28374",outdoor,,,,https://www.vopnc.org/our-government/departments/parks-recreation/facility-rentals/the-arboretum,
Pinehurst Brewery,"Pinehurst, NC","300 Magnolia Road, Pinehurst, NC 28374",bar,,,,https://www.pinehurstbrewing.com/,
Pine Crest Inn,"Pinehurst, NC","50 Dogwood Avenue, Pinehurst, NC",club,,,,https://www.pinecrestinnpinehurst.com/,
Bell Tree Tavern,"Southern Pines, NC","155 NE Broad Street, Southern Pines, NC 28387",club,,,,https://thebelltreetavern.com/,
Red's Corner,"Southern Pines, NC","901 SW Broad Street, Southern Pines, NC 28387",club,,,,https://www.redscornersp.com/,
